titulo,pdf_url
Subvenções Públicas Concedidas em 2025,https://www.ihm.pt/uploads/divulgacoes/SubVencoes_2025.pdf
Aviso - Procedimento de elaboração do Regulamento de Recrutamento e Seleção de Pessoal,https://www.ihm.pt/uploads/divulgacoes/Aviso_Regulamento_recrutamento.pdf
Subvenções Públicas Concedidas em 2024,https://www.ihm.pt/uploads/divulgacoes/SubVencoes_2024.pdf
"Portaria que procede à primeira alteração da Portaria n.º 43/2023, de 13 de janeiro, retificada pela Declaração de Retificação n.º2/2023, de 18 de janeiro, que regulamenta os termos da implementação e execução do Programa de Apoio às Famílias com Crédito à Habitação, abreviadamente designado por REEQUILIBRAR",https://www.madeira.gov.pt//Portals/32/Documentos/DocumentosOficiais/0642_001.pdf
"Projeto de portaria de regulamentação do Decreto Legislativo Regional n.º 4/2024/M, de 03 de abril, que cria o Programa de habitação pública apoiada denominado «Programa de Renda Reduzida",https://www.madeira.gov.pt//Portals/32/Documentos/DocumentosOficiais/0572_001.pdf
Subvenções Públicas Concedidas em 2023,https://www.ihm.pt/uploads/divulgacoes/SubVencoes_2023.pdf
Estratégia Regional da Habitação,https://www.ihm.pt/uploads/divulgacoes/ERH.pdf
Destacável IHM/IASAÚDE - Centro de Saúde Dr. Rui Adriano de Freitas (Nazaré) 24-09-2020,https://www.ihm.pt/uploads/divulgacoes/SUP CENTRO SAUDE NAZARE.pdf
Suplemento IHM/IASAÚDE - Centro de Saúde Dr. Rui Adriano de Freitas (Nazaré) 22-09-2020,https://www.ihm.pt/uploads/divulgacoes/Destaca´vel Centro de Sau´de da Nazare´.pdf
Suplemento IHM - O Reerguer dos incêndios - Diário de Notícias |  08-08-2019,https://www.ihm.pt/uploads/divulgacoes/20190808 DN.pdf
Suplemento IHM - O Reerguer dos incêndios - JM -Madeira |  08-08-2019,https://www.ihm.pt/uploads/divulgacoes/20190808 JM.pdf
Suplemento IHM - Apostar nas Pessoas |  29-12-2017,https://www.ihm.pt/uploads/divulgacoes/SuplementoIHM2017.pdf
Suplemento IHM - Prioridade | 07-11-2016,https://www.ihm.pt/uploads/divulgacoes/suplementoIHM.pdf
"Prémio ""Reabilitar Madeira 2017""",https://www.ihm.pt/uploads/divulgacoes/RegulamentoReabilitarMadeira17.pdf
Subvenções Públicas Concedidas em 2022,https://www.ihm.pt/uploads/divulgacoes/SubVencoes_2022_Website.pdf
Subvenções Públicas Concedidas em 2021,https://www.ihm.pt/uploads/divulgacoes/SubVencoes_2021.pdf
Subvenções Públicas Concedidas em 2020,https://www.ihm.pt/uploads/divulgacoes/subvencoes_2020_IHM.pdf
